"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Long-lasting appropriation success of an innovation? a comparative case study of bayer’s aspirin and roundup","https://scispace.com/paper/long-lasting-appropriation-success-of-an-innovation-a-1kwggm1a","2022","Journal Article","International Journal of Innovation Management","Pia Hurmelinna-Laukkanen
Jialei Yang","10.1142/s1363919622400291","","Changes such as expiring patents and shifting environments challenge a firm trying to reach long-lasting appropriation success of an innovation. To understand how appropriation can be continued over time, this study investigates and compares Bayer’s two innovations, Aspirin medicine and Roundup herbicide. Whereas for the first, appropriation success has been continued through decades, for the latter, such a continuum has not realised. Our findings suggest that long-lasting appropriation success lies in adjusting the appropriation strategy by identifying the most substantial appropriability premises for innovation (appropriability mechanisms and complementary assets) and the ways to use them in different situations, paying specific attention to the shifting appropriability conditions. For long-term success, it is critical for firms to recognise that isolating appropriability mechanisms and complementary assets can have varied and distinctive implications depending on the pertinent contextual factors at innovation level and to strategise accordingly.","In this paper , the authors compare Bayer's Aspirin medicine and Roundup herbicide and find that long-lasting appropriation success lies in adjusting the appropriation strategy by identifying the most substantial appropriability premises for innovation (appropriability mechanisms and complementary assets) and the ways to use them in different situations."
"Detecting Risk of Intellectual Property (IP) Leakage due to Reverse Design in Collaborative Product Development Environments","https://scispace.com/paper/detecting-risk-of-intellectual-property-ip-leakage-due-to-imkkd7uw0h","2011","Proceedings Article","","Xinlin Cao
Yong Zeng","10.1115/DETC2011-48278","https://scispace.com/pdf/detecting-risk-of-intellectual-property-ip-leakage-due-to-imkkd7uw0h.pdf","Intellectual Property (IP) leakage during collaborative product development is drawing more and more attentions nowadays. Unlike most of existingresearch, which is focused on the effect of IP leakage on the supply chain’s material and information flows, we propose a reverse design based conceptual model of information leakage during collaborative product development environments. In addition, a generic extensible framework is proposed to detect and estimate the IP leakage due to reverse design. Specifically, we propose an inference model to obtain inferred knowledge based on public knowledge and shared knowledge. We also present an algorithm to detect potential IP leakage due to reverse design in collaborative product development environments when potential competition may exist between a product partner and the manufacturer. An industrial example is used to demonstrate the problem and our proposed approach.","Wang et al. as discussed by the authors proposed a reverse design based conceptual model of information leakage during collaborative product development environments, and a generic extensible framework is proposed to detect and estimate the IP leakage due to reverse design."
"Reverse Engineering and Its Applications","https://scispace.com/paper/reverse-engineering-and-its-applications-5gp1v6lg3c","2018","Book Chapter","","Attya Bhatti
Nida Ali Syed
Peter John","10.1016/B978-0-12-804659-3.00005-1","","Commonly described as the reversal of the traditional approach of product development, reverse engineering is a putative concept of the field of engineering that has found numerous applications in diverse fields. Reverse engineering can be used to capture a three-dimensional product or model in digital form, remodeled, and exported for rapid prototyping/tooling or rapid manufacturing. A salient feature of reverse engineering approach is the ability to speed up the manufacturing process, as the production is typically based on prototypes that have already been manufactured and undergo desired modifications. This chapter gives an account of the application of reverse engineering in diverse fields of biological sciences such as bioinformatics, biosystems, human regulatory networks, medical device design, software design, pharmaceutical product design, and therapeutic protein production. From a legal and economic standpoint, reverse engineering has a long-standing history of being an acceptable practice, as it often endorsed as an appropriate way of obtaining information about another product and utilizing this information to develop another product that is directly in competition to the existing product. However, with an increase in the number of products being reverse engineered, several conflicts of legal origin have arisen, which highlight the need for the development of specific legislature governing the practices of reverse engineering that serve a regulatory purpose.","This chapter gives an account of the application of reverse engineering in diverse fields of biological sciences such as bioinformatics, biosystems, human regulatory networks, medical device design, software design, pharmaceutical product design, and therapeutic protein production."
"Case Studies in Model-Driven Reverse Engineering","https://scispace.com/paper/case-studies-in-model-driven-reverse-engineering-4px660n8s3","2019","Proceedings Article","International Conference on Model-Driven Engineering and Software Development","André Pascal","10.5220/0007312502580265","","Without abstraction, third party maintenance can hardly make evolve (even documented) software applications. In this paper we address the problem of re-engineering software applications to add abstraction in order to improve their continuous evolution. In three different case studies, we make use of Model-Driven Reverse Engineering for extracting component software architecture, for aligning business and application logic in information systems and for re-engineering a holonic software manufacturing process. We report lessons learnt for future developments.","This paper addresses the problem of re-engineering software applications to add abstraction in order to improve their continuous evolution and makes use of Model-Driven Reverse Engineering for extracting component software architecture, for aligning business and application logic in information systems and for re- engineering a holonic software manufacturing process."
"Reverse Engineering A Swiftly Growing Technology in Software World","https://scispace.com/paper/reverse-engineering-a-swiftly-growing-technology-in-software-3emqctdgze","2009","","","A. Preet
Inder Singh
B. Richa Gupta","","","With an initial aim of modernizing legacy systems, often written in old programming languages, software reverse engineering has now extended its applicability to virtually every kind of software system. Existing system's modification or replacement often applies reverse engineering for understanding of that system. Reverse engineering is nowadays used for more than one purpose that is sometimes illegal also. This paper presents an insight on this exciting and swiftly growing technology in the computer world. I. INTRODUCTION Reverse engineering is the attempt to recapture the top level specification of established product by analyzing it. The practice, taken from older industries, is now frequently used on computer hardware and software. Hardware reverse engineering involves taking apart a device to see how it works whereas software reverse engineering is the process of recovering or reconstructing functional and technical specifications of a software system at a high level of abstraction. In an industrial context, high level architectural descriptions are an essential means of support for software system development. Reverse engineering should aim at recovering architecturally significant views of the system, which can help keep track of the evolution of software architecture. Software reverse engineering is done for various reasons such as, to study how the program performs certain operations, to improve the performance of a program, to fix a bug, to identify program written for use with one microprocessor for use with another. Reverse engineering generally consists of the following stages: 1. Analysis of the product 2. Generation of an intermediate level product description 3. Human analysis of the product description to produce a specification","An insight on reverse engineering is presented, the process of recovering or reconstructing functional and technical specifications of a software system at a high level of abstraction, which can help keep track of the evolution of software architecture."
"Reverse Engineering: An Industrial Perspective","https://scispace.com/paper/reverse-engineering-an-industrial-perspective-25uoufik2c","2007","Book","","Vinesh Raja
Kiran Jude Fernandes","","","Reverse engineering is the process of discovering the technological principles of an object or component through analysis of its structure and function. Such analysis can then be used to redesign the object very quickly using computer-aided design in concert with rapid-manufacturing processes to produce small numbers of components adapted to the needs of a particular customer. This way of working has huge benefits of speed and flexibility over traditional mass-production-based design and manufacturing processes. This edited collection of essays from world-leading academic and industrial authors yields insight into all aspects of reverse engineering: The methods of reverse engineering analysis are covered, with special emphasis on the investigation of surface and internal structures. Frequently-used hardware and software are assessed and advice given on the most suitable choice of system. Rapid prototyping is introduced and its relationship with successful reverse engineering is discussed. Importantly, legal matters surrounding reverse engineering are addressed as are other barriers to the adoption of these techniques. Applications of reverse engineering in three significant areas: automotive, aerospace, and medical engineering are reported in depth. Reverse Engineering is a ""must have"" title for anyone working with advanced modern manufacturing technologies, either with a view to researching and improving them further or to making their company leaner and more agile in a competitive manufacturing marketplace.","Reverse engineering is the process of discovering the technological principles of an object or component through analysis of its structure and function as mentioned in this paper, which can then be used to redesign the object very quickly using computer-aided design in concert with rapid-manufacturing processes to produce small numbers of components adapted to the needs of a particular customer."
"Reverse Design o la deconstrucción proyectual del diseño","https://scispace.com/paper/reverse-design-o-la-deconstruccion-proyectual-del-diseno-sb672xfu3n24","2024","Repository","","Rodrigo Martin-Iglesias","10.60692/71gyz-vkb79","","Reverse engineering is been applied in industry for many years, particularly in the context of the software industry, with the subsequent theoretical development, especially from the 1990s.In this paper we propose to realize their potential application to the field of design, and then characterize the concept of Reverse Design, associated with the idea of projectual deconstruction, concept that has great potential, from didactics to the optimization of materials and energy.Based on a literature review of the state, we will use the basic texts of reverse engineering to establish parallels, differences and contributions to the discipline. ",""
"Reverse Engineering: Techniques, Applications, Challenges, Opportunities","https://scispace.com/paper/reverse-engineering-techniques-applications-challenges-46fp1zvnpzn3","2024","Journal Article","International Research Journal of Modernization in Engineering Technology and Science","","10.56726/irjmets60817","","This paper aims to provide a comprehensive overview of reverse engineering, discussing its various techniques, applications, challenges, and opportunities. By exploring these aspects, we can better appreciate the role of reverse engineering in advancing technology and solving complex problems. The primary objective of this paper is to elucidate the process and importance of reverse engineering across different domains. We aim to highlight the techniques used in reverse engineering, its applications in various industries, the challenges faced during the process","This paper provides a comprehensive overview of reverse engineering, discussing techniques, applications, challenges, and opportunities across various domains, highlighting its importance in advancing technology and solving complex problems through elucidation of the process and its importance."
"Managing Information Technology Risks to Achieve Business Goals: A Case of Pharmaceutical Company","https://scispace.com/paper/managing-information-technology-risks-to-achieve-business-1ofswzyn","2023","Journal Article","JOIV : International Journal on Informatics Visualization","","10.30630/joiv.7.2.1816","https://joiv.org/index.php/joiv/article/download/1816/648","Extant literature has shown that sectoral characteristics play a critical role in business value creation through information technology (IT). Therefore, managing IT and its associated risks needs to consider specific industrial traits to understand the distinct business nature and regulations that shape IT-enabled business value creation. This study presents an in-depth analysis of business goals, IT processes, and IT risks in the case of a pharmaceutical company through which appropriate controls are designed to ensure business value creation through IT. Drawing on a case study of a pharmaceutical company in Indonesia, we found that managing IT risks in the pharmaceutical industry entails two main objectives: 1) ensuring compliance with external laws and regulations as well as internal policies, 2) supporting the optimization of business functions, processes, and costs. Throughout one year of engagement during the project, this study identified ten risks associated with the operation of business processes. Risks are dominated by moderate levels given the current state of controls and appetite, most of which emerge from the company’s existing internal processes. Internal actors are involved in all risks, with most events occurring due to laws and regulations. Further, the study designs and elaborates IT risk controls by drawing from COBIT 5 Seven Enablers. Overall, IT risk management through cascading processes of analysis ensures the alignment of IT risk controls with achieving business goals in the pharmaceutical industry. ","In this paper , the authors present an in-depth analysis of business goals, IT processes, and IT risks in the case of a pharmaceutical company through which appropriate controls are designed to ensure business value creation through IT."
"Reverse Engineering - Roadmap to Effective software Design","https://scispace.com/paper/reverse-engineering-roadmap-to-effective-software-design-5b73u826k1","2009","","","Mamta Garg
Manoj Kumar Jindal","","","The process of duplicating an existing component, subassembly, or product, without the aid of drawings, documentation, or computer model is known as reverse engineering. So reverse engineering is the process of learning the design of an object by studying its implementation. It is the process of discovering the technological principles of a device, object or system through analysis of its structure, function and operation. The role of reverse engineering in software evolution is important. It provides the means for recapturing lost information, restructuring complex systems or transforming old systems to a new, more maintainable and better architecture. Reverse engineering software helps researchers to examine the strength of systems and identify their weaknesses in terms of performance, security, and interoperability. The goal of reverse engineering itself is the improved documentation of how the original product works by uncovering the underlying design. In this paper various reverse engineering tools are discussed which help in developing software design better by the use of existing","Various reverse engineering tools are discussed which help in developing software design better by the use of existing reverse engineering software."
"Caracterización de los riesgos inherentes a la Ingeniería Reversa","https://scispace.com/paper/caracterizacion-de-los-riesgos-inherentes-a-la-ingenieria-4g7rq9nb5v","2013","","","Inés Gimenez Zens
Juan Carlos Cuevas
Franco Mana","","https://scispace.com/pdf/caracterizacion-de-los-riesgos-inherentes-a-la-ingenieria-4g7rq9nb5v.pdf","Se presenta en este documento el resultado de la línea de investigación, “Herramientas de Ingeniería Reversa”, en el marco del proyecto “Caracterización de los riesgos inherentes a la Ingeniería Reversa”. Este proyecto lo desarrolla el grupo de investigación de la Cátedra de Servicios del Software de la Universidad Tecnológica Nacional Córdoba. Se describe aquí el proceso de investigación y el desarrollo de un gráfico que tiene como objetivo informar las posibles herramientas de ingeniería de software a utilizar según las variables del proyecto que se haya encarado.","Herramientas de Ingeniería Reversa as mentioned in this paper, en el marco del proyecto “Caracterización de los riesgos inherentes a la Ingenieriía reversa”."
"Appropriation of Intellectual Property: A Multiple Cross-Case Analysis of SME Practices in Technology-intensive Industries","https://scispace.com/paper/appropriation-of-intellectual-property-a-multiple-cross-case-23n95vt4oc","2019","Journal Article","Journal of Management Policy and Practice","Sairah Hussain
Mile Terziovski","10.33423/JMPP.V20I2.2099","","Intellectual property (IP) is critical to the development of competitive advantage. Anecdotal evidence and the literature suggest that SMEs find it difficult to appropriate their IP, due to high legal costs. This study examines the key determinants of IP appropriation strategy in technology- intensive SMEs. We examine the relationships between the factors that facilitate IP appropriation and innovation performance with a qualitative analysis of five case studies in the biotechnology and ICT industries. The results reveal that SMEs in both sectors rely on organizational resources, specific IP acquisition practices and various IP protection practices to facilitate IP appropriation.","In this article, the authors examine the relationships between the factors that facilitate IP appropriation and innovation performance with a qualitative analysis of five case studies in the biotechnology and ICT industries."
"Supply chain risk assessment in pharmaceutical industries: an empirical approach","https://scispace.com/paper/supply-chain-risk-assessment-in-pharmaceutical-industries-an-1x8xhuazrp","2019","Journal Article","International Journal of Business Innovation and Research","V. Raja Sreedharan
V. Kamala
P. Arunprasad","10.1504/IJBIR.2019.10020176","","Supply chain risks are one of the significant hurdles faced by the organisations in achieving operational excellence. The purpose of this study is to assess the supply chain risks in the pharmaceut...","In this article, the authors assess the supply chain risks in the pharmaceutic supply chain in order to achieve operational excellence, and propose a risk assessment model for the pharma supply chain."
"Technology Acquisition and Backwardness Advantage of Reverse Engineering","https://scispace.com/paper/technology-acquisition-and-backwardness-advantage-of-reverse-kx4u4655d50x","","","","WANG Xue-li
HE Jing-sheng","10.3969/j.issn.1671-0169.2006.03.008","","Reverse engineering is a method for enterprises to acquire advanced technology,and a learning process to improve technologic capability by absorbing and applying new technology.During the process of reverse engineering,enterprises have additional backwardness advantage that can draw on extensive experience,and this is useful to their technology acquisition and technology innovation.To establish the mechanism to take full use of the backwardness advantage is the key to carrying out reverse engineering and to strengthening sustainable competitiveness.","Reverse engineering enables enterprises to acquire advanced technology through a learning process, leveraging their existing backwardness advantage, extensive experience, and expertise to improve technological capability and innovation."
"A reverse engineering-based model for innovation process in complex product systems: Multiple case studies in the aviation industry","https://scispace.com/paper/a-reverse-engineering-based-model-for-innovation-process-in-46dpe38rzj","2023","Journal Article","Journal of Engineering and Technology Management","Maryam Rozesara
Soroush Ghazinoori
M Manteghi
S. Tabatabaeian","10.1016/j.jengtecman.2023.101765","","Reverse engineering is an activity of innovation based on knowledge and data acquired from the earlier design, which plays a significant role in complex product systems (CoPS) industries. However, no study has yet been conducted on the innovation process based on reverse engineering in these industries. This paper provides a model for this process and addresses hidden and unknown interactions between reverse and forward engineering. We argue how reverse engineering in CoPS projects can lead to the designing and manufacturing of an innovative product. First of all, an analytical framework was developed by reviewing extant literature on reverse engineering and innovation process models. Then, a ten-step process model was developed by a chronological multiple case study of three CoPS in the aviation industry and analyzing reverse and forward engineering in cross-case comparison. The stages of the model included; data evaluation and verification, technical data generation, design verification, design implementation, concept, development, production, utilization, support, and retirement. This model is a complex system of dynamic, iterative, concurrent, recursive, and time-interdependent processes. It is capable of providing a systematic, pragmatic, and detailed framework for better management of the innovation process in CoPS as designed and produced based on reverse engineering. ","This study develops a 10-step reverse engineering-based model for innovation in complex product systems, specifically in the aviation industry, through a multiple case study, providing a systematic framework for managing the innovation process in CoPS."
