"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Customer controlled manufacturing process","https://scispace.com/paper/customer-controlled-manufacturing-process-1zftpfv2aw","2001","Patent","","Julian W. Boyden
John Wright","","","A method for customer manufacturing control of a process containing trade secret formulations, comprises the following steps: associating tag descriptors to a corresponding trade secret; formulating a product as a function of the tag descriptors; transmitting the tag formulation to a manufacturing system; and decoding said tag formulation into a corresponding trade secret formulation; wherein the corresponding trade secret formulation is not accessible by the customer.","In this paper, a method for customer manufacturing control of a process containing trade secret formulations, comprises the following steps: associating tag descriptors to a corresponding trade secret; formulating a product as a function of the tag descriptor; transmitting the tag formulation to a manufacturing system; and decoding said tag formulation into a corresponding secret formulation; wherein the corresponding tradesecret formulation is not accessible by the customer."
"BioSecure Digital Twin: Manufacturing Innovation and Cybersecurity Resilience","https://scispace.com/paper/biosecure-digital-twin-manufacturing-innovation-and-25xkeiuu6i","2021","","","Michael Mylrea
Charles Fracchia
Howard Grimes
Wayne Austad
Gregory Shannon
Bill Reid
Nathan Case","10.1007/978-3-030-89385-9_4","","U.S. national security, prosperity, economy, and well-being require secure, flexible, and resilient Biopharmaceutical Manufacturing. The COVID-19 pandemic reaffirmed that the biomedical production value-chain is vulnerable to disruption and has been under attack from sophisticated nation-state adversaries. Current cyber defenses are inadequate, and the integrity of critical production systems and processes are inherently vulnerable to cyber-attacks, human error, and supply chain disruptions. The following chapter explores how a BioSecure Digital Twin will improve U.S. manufacturing resilience and preparedness to respond to these hazards by significantly improving monitoring, integrity, security, and agility of our manufacturing infrastructure and systems. The BioSecure Digital Twin combines a scalable manufacturing framework with a robust platform for monitoring and control to increase U.S. biopharma manufacturing resilience. Then, the chapter discusses some of the inherent vulnerabilities and challenges at the nexus of health and advanced manufacturing. Next, the chapter highlights that as the Pandemic evolves, we need agility and resilience to overcome significant obstacles. This section highlights an innovative application of Cyber Informed Engineering to developing and deploying a BioSecure Digital Twin to improve the resilience and security of the biopharma industrial supply chain and production processes. Finally, the chapter concludes with a process framework to complement the Digital Twin platform, called the Biopharma (Observe, Orient, Decide, Act) OODA Loop Framework (BOLF), a four-step approach to decision-making outputs from the Digital Twin. The BOLF will help end users leverage twin technology by distilling the available information, focusing the data on context, and rapidly making the best decision while remaining cognizant of changes that can be made as more data becomes available.","The BioSecure Digital Twin this article is a scalable manufacturing framework with a robust platform for monitoring and control to increase U.S. manufacturing resilience and preparedness to respond to these hazards by significantly improving monitoring, integrity, security, and agility of manufacturing infrastructure and systems."
"Evidence-based IP research","https://scispace.com/paper/evidence-based-ip-research-5b3hd4d171","2023","Book Chapter","","Mateo Aboy
Louise C. Druedahl
Timo Minssen","10.4337/9781802206210.00013","","This chapter provides an overview of evidence-based IP research with a focus on empirical studies in patent law and trade secrets. Empirical IP studies complement other types of legal research to provide evidence-based findings and data-driven recommendations to help guide policy decisions aimed at improving the effectiveness of the IP system to achieve desirable social goals. The chapter introduces a typology to categorize empirical patent and trade secret studies based on their respective objectives, level of analysis, source data, and methodologies. In addition to addressing the various methodological aspects to consider when designing and conducting these types of empirical studies, the chapter presents selected examples from the biotech and pharmaceutical sectors to help illustrate the different types of empirical methodologies presented. Additionally, these examples illustrate (1) the types of research questions that can be studied by empirical means and the associated empirical results, and (2) the nature of the scholarly contributions. ","Evidence-based IP research focuses on empirical studies in patent law and trade secrets to provide evidence-based findings and data-driven recommendations. It complements other types of legal research and aims to improve the effectiveness of the IP system."
"Making Do in Making Drugs: Innovation Policy and Pharmaceutical Manufacturing","https://scispace.com/paper/making-do-in-making-drugs-innovation-policy-and-25uh6iqkp1","2013","Journal Article","Social Science Research Network","W. Nicholson Price","10.2139/SSRN.2311682","https://scispace.com/pdf/making-do-in-making-drugs-innovation-policy-and-25uh6iqkp1.pdf","Drug recalls, contamination events, and shortages are on the rise, but drug companies still rely on decades-old manufacturing plants and processes. Contrary to widespread perceptions, drug manufacturing is typically expensive, inefficient, and non-innovative. Drug companies spend much more on manufacturing than on research and development, but the industry lags far behind the innovative manufacturing found in other industries. This lack of innovation in drug manufacturing stands in stark contrast to the innovation present in drug discovery. Drug discovery is the focus of a calibrated innovation policy that combines patents and the regulatory regime. Manufacturing lacks such attention, and the costs are great, both in dollars and in human lives. This article addresses the previously underappreciated role of manufacturing in innovation studies and policy. The stagnation of pharmaceutical manufacturing results from regulatory barriers and ineffective intellectual-property incentives. As a result of the difficulty enforcing manufacturing process patents, manufacturers tend to rely on trade secrecy instead, which reduces innovation. Making matters worse, regulation actively impedes innovative changes to manufacturing methods through substantive and procedural barriers across the lifespan of a drug. To address these challenges, this article suggests several direct regulatory reforms. It also proposes novel ways that regulation can be used to change the function of intellectual property incentives, which fit particularly well in the drug manufacturing context but could be extended to different areas of innovation policy. For example, FDA could be charged with operating a system of temporary market exclusivity for manufacturing innovation parallel to the patent system. Alternately, FDA could require disclosure of manufacturing methods to drive the industry from opacity and trade secrecy towards transparency and patent protection for innovation. A better targeted and more effective innovation policy could improve the current sad state of drug manufacturing with potentially immense economic and health benefits.","In this paper, the authors address the previously underappreciated role of manufacturing in innovation studies and policy, and propose several direct regulatory reforms to improve the current sad state of drug manufacturing with potentially immense economic and health benefits."
"Manufacturing Barriers to Biologics Competition and Innovation","https://scispace.com/paper/manufacturing-barriers-to-biologics-competition-and-1pvjte9yc3","2015","Posted Content","Social Science Research Network","W. Nicholson Price
Arti K. Rai","","","As finding breakthrough small-molecule drugs gets harder, drug companies are increasingly turning to “large molecule” biologics. Although biologics represent many of the most promising new therapies for previously intractable diseases, they are extremely expensive. Moreover, the pathway for generic-type competition set up by Congress in 2010 is unlikely to yield significant cost savings. In this Article, we provide a fresh diagnosis of, and prescription for, this major public policy problem. We argue that the key cause is pervasive trade secrecy in the complex area of biologics manufacturing. Under the current regime, this trade secrecy, combined with certain features of FDA regulation, not only creates high barriers to entry of indefinite duration but also undermines efforts to advance fundamental knowledge.In sharp contrast, offering incentives for information disclosure to originator manufacturers would leverage the existing interaction of trade secrecy and the regulatory state in a positive direction. Although trade secrecy, particularly in complex areas like biologics manufacturing, often involves tacit knowledge that is difficult to codify and thus transfer, in this case regulatory requirements that originator manufacturers submit manufacturing details have already codified the relevant tacit knowledge. Incentivizing disclosure of these regulatory submissions would not only spur competition but it would provide a rich source of information upon which additional research, including fundamental research into the science of manufacturing, could build. In addition to provide fresh diagnosis and prescription in the specific area of biologics, the Article contributes to more general scholarship on trade secrecy and tacit knowledge. Prior scholarship has neglected the extent to which regulation can turn tacit knowledge not only into codified knowledge but into precisely the type of codified knowledge that is most likely to be useful and accurate. The Article also draws a link to the literature on adaptive regulation, arguing that greater regulatory flexibility is necessary and that more fundamental knowledge should spur flexibility.","In this article, the authors argue that pervasive trade secrecy in the complex area of biologics manufacturing, combined with certain features of FDA regulation, not only creates high barriers to entry of indefinite duration but also undermines efforts to advance fundamental knowledge."
"Trade Secrets in Biologic Medicine","https://scispace.com/paper/trade-secrets-in-biologic-medicine-2cvvo4md","2023","Journal Article","Science and Technology Law Review","Robin Feldman","10.52214/stlr.v24i1.10455","","Can something be both open and secret? That is the conundrum facing society as trade secret rights chafe against patent rights in cutting-edge, biologic medicine. The conflict is unsurprising. Trade secret has emerged as a relatively late bloomer among the family of intellectual property rights and only recently has begun to establish the boundaries of its own space, a process in which it will inevitably knock against other intellectual property doctrines already occupying their own domains. Nor is it surprising that the clash would arise in a fast-moving area of medical science. From insulin products, to cancer treatments, to mRNA vaccines, companies are staking the health of their  companies on biologics.
There is a dearth of legal literature on the topic of trade secrets in the biologic space and almost nothing regarding how trade secrets interact with the patent system in that domain. These scientific and legal areas are sufficiently complex that even the most intrepid scholars fear to tread. This article explains in detailed and accessible language how the systems are working together to the detriment of society.
To address the problem, this article argues that a company receiving a patent on a drug product should be required to disclose the full range of trade secrets necessary to make that drug. As the descriptions below will explain, patent applicants are able to satisfy the patent requirement of providing sufficient disclosure that “one skilled in the art can make and use” the invention, without actually providing the information to do so. The surrounding regulatory systems intended to facilitate sharing of clinical trial data suffer the same problem.
As is frequently said in biologics, “the process is the product.” In other words, the only way to define something derived from elements of living organisms is by describing the process of producing it. Thus, lack of process information is particularly problematic with biologics. Being faithful to the theoretical underpinnings of the intellectual property regimes requires a resolution of this problem and the establishment of a more effective boundary line between trade secrets and patents for biologic medicine.","In this article , the authors argue that a company receiving a patent on a drug product should be required to disclose the full range of trade secrets necessary to make that drug, without actually providing the information to do so."
"COVID-19 Trade Secrets and Information Access: An Overview","https://scispace.com/paper/covid-19-trade-secrets-and-information-access-an-overview-1b5kikqh56","2021","Journal Article","Social Science Research Network","David S. Levine
David S. Levine","10.2139/SSRN.3838892","","The unprecedented COVID-19 (COVID) virus has brought to the forefront many challenges associated with exclusive rights, information sharing, and innovation. How do we get effective diagnostics, treatments and vaccines quickly and safely to the public? More specifically, how do we ensure that sufficient quantities are produced, that health products are affordable, and that they are equitably distributed globally? Among many challenges on the road to this outcome is the difficult question of how to handle trade secrets, namely, information that is valuable because others do not know it.

The most famous trade secret is the Coca-Cola formula, but trade secrecy spans a shockingly broad range of critical and life-saving information. Indeed, trade secrets are everywhere in the battle to defeat COVID, from clinical data to pharmaceutical manufacturing processes. For the public at large, COVIDtrade secrets raise two primary issues: (a) When do you have a COVIDtrade secret, and (2) Should access to that trade secret extend to competitors, civil society groups, and/or the public? Both are challenging questions, and the below presents a general overview of the framework for addressing each question.","In this paper, the authors present a general overview of the framework for addressing trade secrets in the COVID-19 (COVID) virus and the challenges associated with exclusive rights, information sharing, and innovation."
"Using Data Exclusivity Grants to Incentivize Cumulative Innovation of Biologics' Manufacturing Processes","https://scispace.com/paper/using-data-exclusivity-grants-to-incentivize-cumulative-3s906h92mp","2017","Journal Article","The American University law review","Eric Lawrence Levi","","https://scispace.com/pdf/using-data-exclusivity-grants-to-incentivize-cumulative-3s906h92mp.pdf","The pharmaceutical market is divided into two types of compounds: small-molecule chemical compounds and large-molecule biologics. Due to biologics’ molecular sizes and the current scientific state of biologics manufacturing, manufacturing facilities and processes require frequent reassessment to ensure production of safe, pure, and potent therapeutics. Manufacturers utilize patent and drug regulatory law to protect their investments and simultaneously signal where innovation and investment are lacking. The current four- and twelve-year regimented structures of the Biologics Price, Competition, and Innovation Act do not keep pace with scientific development; biologics manufacturing processes drift with time, and if a manufacturer can obtain a higher degree of process control, then it should not feel restricted to wait until their exclusivity period lapses. Currently, the FDA rarely grants market exclusivity privileges for manufacturing process improvements alone; hence, manufacturing processes--or at least large portions thereof--are typically withheld as trade secrets or strategically claimed within companion composition claims. As a result, significant opportunity exists in regulatory framework to incentivize the research and development of biologics manufacturing processes. By creating a one- to four-year data exclusivity extension opportunity, manufacturers will feel more comfortable reinvesting their returns on investment towards manufacturing efficiency, and manufacturers can capitalize on the complex-molecule nature of their biologic.","By creating a one- to four-year data exclusivity extension opportunity, manufacturers will feel more comfortable reinvesting their returns on investment towards manufacturing efficiency, and manufacturers can capitalize on the complex-molecule nature of their biologic."
"Keeping Invention Confidential","https://scispace.com/paper/keeping-invention-confidential-2px7ljee","2022","Journal Article","Proceedings - Academy of Management","Colleen Cunningham
Aldona Kapacinskaite","10.5465/ambpp.2022.14792abstract","","This study investigates use of a prevalent but rarely studied form of intellectual property protection: trade secrets. Building on existing survey evidence of firm-level, cross-sectional use of secrecy, we document the effect of stronger legal trade secret protection on the use of trade secrets, and the rate and nature of secret innovation. Our setting is the US oil and gas hydraulic fracturing (fracking) industry, from 2013 to 2018, in states where firms are required to disclose fracking ingredients to regulators barring substantiated claims of trade secrets. We examine how the enactment of the federal 2016 Defend Trade Secrets Act (DTSA) affects well-level trade secret use across states with varying levels of pre-DTSA trade secret protection. We find substantial increases in the use of secrets, the generation of new secrets, the use of both external and internal secrets, and breadth of secret invention, as well as project complexity. Our results provide rare systematic empirical evidence on actual trade secret use and document how stronger formal appropriability shapes secret innovation. ","In this article , the authors investigated the effect of stronger legal trade secret protection on the use of trade secrets and the rate and nature of secret innovation in the US oil and gas hydraulic fracturing industry."
"Keeping Invention Confidential","https://scispace.com/paper/keeping-invention-confidential-gqgt46j1ok1z","2025","Journal Article","Management Science","Colleen Cunningham
Aldona Kapacinskaite","10.1287/mnsc.2022.01138","","This study investigates the use of a prevalent but rarely studied form of intellectual property protection: trade secrecy. Building on existing survey evidence of firm-level, cross-sectional use of secrecy, we document the effect of stronger legal protections for trade secrets on the project-level use of such secrets. Our setting is the U.S. oil and gas hydraulic fracturing industry, from 2014 to 2018, in states where firms are required to disclose fracturing fluid ingredients to regulators except for substantiated claims of trade secrets. We examine how the enactment of the federal 2016 Defend Trade Secrets Act (DTSA) affects well-level trade secret use across states with varying levels of pre-DTSA protection. We find substantial increases in the use and novelty of trade secrets. Further, wells with trade secret ingredients are, on average, more productive. However, the DTSA exerts limited additional effect on trade secret–related productivity. Supplementary tests address alternative explanations, show no evidence of intellectual property substitution, and provide additional support that we are capturing policy effects. Our results provide rare empirical evidence on actual trade secret use and enhance our understanding of how appropriability shapes use of trade secrets and associated inventive activity. This paper was accepted by Toby Stuart, entrepreneurship and innovation. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2022.01138 . ","This study examines the effect of stronger trade secret protections on project-level use in the US oil and gas industry, finding significant increases in trade secret use and productivity following the 2016 Defend Trade Secrets Act."
